clock_offset,imu_longitude,imu_latitude,imu_rel_height,roll,pitch,yaw,accel_x,accel_y,accel_z,accel_composite,gyro_x,gyro_z,gyro_composite,vel_north,vel_east,vel_down,vel_composite,compass_interference,temperature,tilt_inclination,imu_pos_north,imu_pos_east,imu_pos_down,delta_vel_north,delta_vel_east,delta_vel_down,pos_error,total_gyro_z,total_gyro_x,total_gyro_y,dist_travelled,direction_travel_magnetic,direction_travel_true,imu_sensor_status,imu_filter_status,altitude_counter,gps_longitude,gps_latitude,gps_timestamp,gps_heightMSL,gps_hdop,gps_pdop,gps_speed_accuracy,num_satellites,gps_vel_north,gps_vel_east,gps_vel_down,control_mode,motor_state,battery_very_low,battery_level1,battery_level2,batter_go_home,batter_land,batter_go_home_time,batter_land_time,oa_emergency_brake,hover_point_uncertainty1,hover_point_uncertainty2,hover_point_uncertainty3,hover_point_uncertainty4,hover_point_uncertainty5,hover_point_uncertainty6,velocity_uncertainty1,velocity_uncertainty3,velocity_uncertainty4,velocity_uncertainty6
511.387,-106.22128649881826,39.95896712429195,,-10.993438667558308,4.6669857169146916,41.002413747723736,0.084161684,0.19783962,-1.0003226,1.0231662,-3.7455716,0.8292729,6.0512633,-0.021569924,0.19827244,-0.004545644,0.19949408,1507.0,64.98,11.89913488039629,-0.0213602382335693,0.1055819319540773,-0.0259221985891713,-0.0340528317792798,-0.0332228374353205,-0.2444625953175434,False,0.5468391037347828,-4.710786343096515,1.1784269891559234,0.1091609991513839,93.44587887586198,93.44587887586198,0.0,0.0,5763.0,-106.2212871,39.9589673,2018-06-19 20:11:27+00:00,2521.439,0.66,1.09,7.59,8.0,0.0,0.15,0.04,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.98725516,0.0019999999,0.0019999999
511.472,-106.22128649881826,39.95896712429195,,-10.993438667558308,4.6669857169146916,41.002413747723736,0.084161684,0.19783962,-1.0003226,1.0231662,-3.7455716,0.8292729,6.0512633,-0.021569924,0.19827244,-0.004545644,0.19949408,1507.0,64.98,11.89913488039629,-0.0213602382335693,0.1055819319540773,-0.0259221985891713,-0.0340528317792798,-0.0332228374353205,-0.2444625953175434,False,0.5468391037347828,-4.710786343096515,1.1784269891559234,0.1091609991513839,93.44587887586198,93.44587887586198,0.0,0.0,5763.0,-106.2212871,39.9589673,2018-06-19 20:11:27+00:00,2521.439,0.66,1.09,7.59,8.0,0.0,0.15,0.04,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.98725516,0.0019999999,0.0019999999
511.513,-106.22128629931808,39.95896709656932,,-11.082404660547477,4.972447980815692,40.997058583093725,0.06202804,0.20601588,-0.9850428,1.0082655,-3.122784,1.1397375,3.349853,-0.025228977,0.17893736,-0.00965571,0.18096496,1498.0,64.99,12.097019480150449,-0.0237003261341044,0.124443572982102,-0.0266323096400356,-0.0303937790049697,-0.0138877612224375,-0.2393525289334663,False,0.6452956333123439,-5.054225079285061,0.9650826147790212,0.1264418502811775,100.27560785115868,100.27560785115868,0.0,0.0,5803.0,-106.2212871,39.9589673,2018-06-19 20:11:27+00:00,2521.439,0.66,1.09,7.59,8.0,0.0,0.15,0.04,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.98725516,0.0019999999,0.0019999999
511.554,-106.22128629931808,39.95896709656932,,-11.082404660547477,4.972447980815692,40.997058583093725,0.06202804,0.20601588,-0.9850428,1.0082655,-3.122784,1.1397375,3.349853,-0.025228977,0.17893736,-0.00965571,0.18096496,1498.0,64.99,12.097019480150449,-0.0237003261341044,0.124443572982102,-0.0266323096400356,-0.0303937790049697,-0.0138877612224375,-0.2393525289334663,False,0.6452956333123439,-5.054225079285061,0.9650826147790212,0.1264418502811775,100.27560785115868,100.27560785115868,0.0,0.0,5803.0,-106.2212867,39.9589673,2018-06-19 20:11:28+00:00,2521.426,0.66,1.09,7.59,8.0,-0.02,0.16,0.05,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.9868,0.0019999999,0.0019999999
511.587,-106.22128611519152,39.95896706655384,,-11.171523627606549,5.373972610456301,41.05737032764869,0.07575321,0.1723373,-0.9742754,0.992296,5.489659,2.7375796,7.7019033,-0.038876366,0.17510013,0.031583697,0.18212347,1518.0,64.97,12.339009232851003,-0.0269057889217663,0.1421465280921552,-0.0255358434064305,-0.0167463903381015,-0.0100505334010874,-0.2805919358469853,False,0.8391733194930566,-4.935874109493852,1.2186133197301388,0.1424861984889275,102.0064310974713,102.0064310974713,0.0,0.0,5843.0,-106.2212867,39.9589673,2018-06-19 20:11:28+00:00,2521.426,0.66,1.09,7.59,8.0,-0.02,0.16,0.05,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.9868,0.0019999999,0.0019999999
511.674,-106.22128611519152,39.95896706655384,,-11.171523627606549,5.373972610456301,41.05737032764869,0.07575321,0.1723373,-0.9742754,0.992296,5.489659,2.7375796,7.7019033,-0.038876366,0.17510013,0.031583697,0.18212347,1518.0,64.97,12.339009232851003,-0.0269057889217663,0.1421465280921552,-0.0255358434064305,-0.0167463903381015,-0.0100505334010874,-0.2805919358469853,False,0.8391733194930566,-4.935874109493852,1.2186133197301388,0.1424861984889275,102.0064310974713,102.0064310974713,0.0,0.0,5843.0,-106.2212867,39.9589673,2018-06-19 20:11:28+00:00,2521.426,0.66,1.09,7.59,8.0,-0.02,0.16,0.05,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.9868,0.0019999999,0.0019999999
511.713,-106.22128594858384,39.95896707530835,,-11.35858499805891,4.997816750782357,40.91903712136967,0.047388814,0.18556933,-1.0068223,1.024877,-6.0944877,1.5119045,8.349191,-0.06407791,0.14621156,-0.02074271,0.16097845,1506.0,64.94,12.357827437427083,-0.0320538167223105,0.1582130935258305,-0.0249937610261667,0.0482577712000935,0.0076127380636989,-0.1684835978811949,False,1.0516604909989835,-4.966117397011658,1.1763280384602697,0.1567197364456852,86.0783772055511,86.0783772055511,0.0,0.0,5883.0,-106.2212867,39.9589673,2018-06-19 20:11:28+00:00,2521.426,0.66,1.09,7.59,8.0,-0.02,0.16,0.05,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.9868,0.0019999999,0.0019999999
511.751,-106.22128594858384,39.95896707530835,,-11.35858499805891,4.997816750782357,40.91903712136967,0.047388814,0.18556933,-1.0068223,1.024877,-6.0944877,1.5119045,8.349191,-0.06407791,0.14621156,-0.02074271,0.16097845,1506.0,64.94,12.357827437427083,-0.0320538167223105,0.1582130935258305,-0.0249937610261667,0.0482577712000935,0.0076127380636989,-0.1684835978811949,False,1.0516604909989835,-4.966117397011658,1.1763280384602697,0.1567197364456852,86.0783772055511,86.0783772055511,0.0,0.0,5883.0,-106.2212864,39.9589672,2018-06-19 20:11:28+00:00,2521.402,0.66,1.09,7.59,8.0,-0.04,0.15,0.06,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.9865101,0.0019999999,0.0019999999
511.787,-106.2212858967424,39.95896714492759,,-12.087029714144949,4.9325097096156405,40.92074506997218,0.06276043,0.1594949,-0.92505634,0.94080114,-0.1326315,-1.2148776,5.816515,-0.07788733,0.124692425,-0.029957395,0.15004027,1511.0,64.94,13.000685682105331,-0.0391503453877533,0.1717549860759959,-0.0275281474147277,0.0620671913684933,0.0291318774727642,-0.159268913514015,False,1.0665082088144118,-5.2773973405073775,0.6169927111313882,0.1656332735052971,29.716513457121295,29.716513457121295,0.0,0.0,5923.0,-106.2212864,39.9589672,2018-06-19 20:11:28+00:00,2521.402,0.66,1.09,7.59,8.0,-0.04,0.15,0.06,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.9865101,0.0019999999,0.0019999999
511.872,-106.2212858967424,39.95896714492759,,-12.087029714144949,4.9325097096156405,40.92074506997218,0.06276043,0.1594949,-0.92505634,0.94080114,-0.1326315,-1.2148776,5.816515,-0.07788733,0.124692425,-0.029957395,0.15004027,1511.0,64.94,13.000685682105331,-0.0391503453877533,0.1717549860759959,-0.0275281474147277,0.0620671913684933,0.0291318774727642,-0.159268913514015,False,1.0665082088144118,-5.2773973405073775,0.6169927111313882,0.1656332735052971,29.716513457121295,29.716513457121295,0.0,0.0,5923.0,-106.2212864,39.9589672,2018-06-19 20:11:28+00:00,2521.402,0.66,1.09,7.59,8.0,-0.04,0.15,0.06,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.9865101,0.0019999999,0.0019999999
