clock_offset,imu_longitude,imu_latitude,imu_rel_height,roll,pitch,yaw,vel_north,vel_east,vel_down,vel_composite,vel_horizontal,yaw_UnWrapped,yaw360,imu_pos_north,imu_pos_east,imu_pos_down,imu_calc_height,imu_calc_lat,imu_calc_long,dist_travelled,gps_longitude,gps_latitude,gps_timestamp,gps_heightMSL,gps_vel_north,gps_vel_east,gps_vel_down,control_mode,motor_state
34.935,-106.2164972748456,39.96089957760028,10.140625187500063,8.791695642536881,-19.48123606388206,-166.46434107132887,-10.512018,-2.1836731,-0.060419213,10.736601,10.736430986011264,-166.46434107132887,193.53565892867113,-33.711589806647,-3.6300350873134217,-12.20522314516485,12.20522314516485,39.960890850340114,-106.21649628399084,265.01221222479217,-106.2164893,39.9609302,2018-06-19 20:09:00+00:00,2497.362,-10.08,-2.08,-0.07,GPS_Atti,1.0
34.972,-106.2164972748456,39.96089957760028,10.140625187500063,8.791695642536881,-19.48123606388206,-166.46434107132887,-10.512018,-2.1836731,-0.060419213,10.736601,10.736430986011264,-166.46434107132887,193.53565892867113,-33.711589806647,-3.6300350873134217,-12.20522314516485,12.20522314516485,39.960890850340114,-106.21649628399084,265.01221222479217,-106.2164943,39.9609116,2018-06-19 20:09:00+00:00,2497.384,-10.28,-2.13,-0.09,GPS_Atti,1.0
35.013,-106.21649976895564,39.9608903442186,10.610840031250063,8.892360293963115,-19.3026248120985,-166.47579545381396,-10.600453,-2.197222,-0.029659493,10.825815,10.825774583128316,-166.47579545381396,193.52420454618604,-34.81173461938238,-3.8583181209978417,-12.209917035251562,12.209917035251562,39.96088095649911,-106.2164989624502,266.0606919829684,-106.2164943,39.9609116,2018-06-19 20:09:00+00:00,2497.384,-10.28,-2.13,-0.09,GPS_Atti,1.0
35.101,-106.21649976895564,39.9608903442186,10.610840031250063,8.892360293963115,-19.3026248120985,-166.47579545381396,-10.600453,-2.197222,-0.029659493,10.825815,10.825774583128316,-166.47579545381396,193.52420454618604,-34.81173461938238,-3.8583181209978417,-12.209917035251562,12.209917035251562,39.96088095649911,-106.2164989624502,266.0606919829684,-106.2164943,39.9609116,2018-06-19 20:09:00+00:00,2497.384,-10.28,-2.13,-0.09,GPS_Atti,1.0
35.143,-106.21650232708537,39.96088119541179,10.991211125000063,8.784994467482017,-18.904887172176263,-166.60676940367563,-10.683273,-2.2153976,-0.034560595,10.910615,10.910560084161474,-166.60676940367563,193.39323059632437,-35.91950426884364,-4.087984951809608,-12.213259544999074,12.213259544999074,39.960870994086235,-106.21650165714496,267.10109424284065,-106.2164943,39.9609116,2018-06-19 20:09:00+00:00,2497.384,-10.28,-2.13,-0.09,GPS_Atti,1.0
35.18,-106.21650232708537,39.96088119541179,10.991211125000063,8.784994467482017,-18.904887172176263,-166.60676940367563,-10.683273,-2.2153976,-0.034560595,10.910615,10.910560084161474,-166.60676940367563,193.39323059632437,-35.91950426884364,-4.087984951809608,-12.213259544999074,12.213259544999074,39.960870994086235,-106.21650165714496,267.10109424284065,-106.2164994,39.9608926,2018-06-19 20:09:00+00:00,2497.397,-10.52,-2.17,-0.09,GPS_Atti,1.0
35.221,-106.21650478966596,39.96087201341077,9.622802921875063,9.163420571928857,-18.547390414442788,-166.4158892701364,-10.761855,-2.227554,-0.04978448,10.990087,10.989973874256297,-166.4158892701364,193.5841107298636,-37.03632896624117,-4.319366087081994,-12.217652088718308,12.217652088718308,39.96086095023928,-106.21650437195296,268.1434356238652,-106.2164994,39.9608926,2018-06-19 20:09:00+00:00,2497.397,-10.52,-2.17,-0.09,GPS_Atti,1.0
35.309,-106.21650478966596,39.96087201341077,9.622802921875063,9.163420571928857,-18.547390414442788,-166.4158892701364,-10.761855,-2.227554,-0.04978448,10.990087,10.989973874256297,-166.4158892701364,193.5841107298636,-37.03632896624117,-4.319366087081994,-12.217652088718308,12.217652088718308,39.96086095023928,-106.21650437195296,268.1434356238652,-106.2164994,39.9608926,2018-06-19 20:09:00+00:00,2497.397,-10.52,-2.17,-0.09,GPS_Atti,1.0
35.352,-106.21650746946668,39.96086209180957,10.574951359375063,8.977146922570125,-18.910861484409473,-166.43300659073873,-10.861732,-2.2498617,-0.03192576,11.092344,11.092298471830969,-166.43300659073873,193.56699340926127,-38.16178755509395,-4.552405413469364,-12.221904921276872,12.221904921276872,39.9608508287458,-106.21650710621576,269.270061274279,-106.2164994,39.9608926,2018-06-19 20:09:00+00:00,2497.397,-10.52,-2.17,-0.09,GPS_Atti,1.0
35.389,-106.21650746946668,39.96086209180957,10.574951359375063,8.977146922570125,-18.910861484409473,-166.43300659073873,-10.861732,-2.2498617,-0.03192576,11.092344,11.092298471830969,-166.43300659073873,193.56699340926127,-38.16178755509395,-4.552405413469364,-12.221904921276872,12.221904921276872,39.9608508287458,-106.21650710621576,269.270061274279,-106.2165047,39.9608733,2018-06-19 20:09:01+00:00,2497.424,-10.68,-2.24,-0.11,GPS_Atti,1.0
35.429,-106.21651005778511,39.960852555823905,10.125976750000063,8.726194275086755,-19.138638245308055,-166.58669208928654,-10.944073,-2.2722394,-0.022068111,11.17749,11.177468346858314,-166.58669208928654,193.41330791071343,-39.29872653719872,-4.788184522309143,-12.224720122978152,12.224720122978152,39.960840604006584,-106.21650987262382,270.35311866266056,-106.2165047,39.9608733,2018-06-19 20:09:01+00:00,2497.424,-10.68,-2.24,-0.11,GPS_Atti,1.0
35.518,-106.21651005778511,39.960852555823905,10.125976750000063,8.726194275086755,-19.138638245308055,-166.58669208928654,-10.944073,-2.2722394,-0.022068111,11.17749,11.177468346858314,-166.58669208928654,193.41330791071343,-39.29872653719872,-4.788184522309143,-12.224720122978152,12.224720122978152,39.960840604006584,-106.21650987262382,270.35311866266056,-106.2165047,39.9608733,2018-06-19 20:09:01+00:00,2497.424,-10.68,-2.24,-0.11,GPS_Atti,1.0
35.56,-106.21651308896809,39.96084149814201,10.684814640625063,8.29789166445196,-18.32702401583384,-166.89112328961724,-11.024008,-2.3069634,-0.06560223,11.262999,11.262807379961934,-166.89112328961724,193.10887671038276,-40.44312086851937,-5.02673125491126,-12.229287178310685,12.229287178310685,39.96083031221972,-106.21651267150372,271.60952436587536,-106.2165047,39.9608733,2018-06-19 20:09:01+00:00,2497.424,-10.68,-2.24,-0.11,GPS_Atti,1.0
35.597,-106.21651308896809,39.96084149814201,10.684814640625063,8.29789166445196,-18.32702401583384,-166.89112328961724,-11.024008,-2.3069634,-0.06560223,11.262999,11.262807379961934,-166.89112328961724,193.10887671038276,-40.44312086851937,-5.02673125491126,-12.229287178310685,12.229287178310685,39.96083031221972,-106.21651267150372,271.60952436587536,-106.21651,39.9608537,2018-06-19 20:09:01+00:00,2497.444,-10.87,-2.26,-0.12,GPS_Atti,1.0
35.638,-106.21651577547246,39.96083152312785,9.693847843750063,8.767210784596273,-17.946286411839363,-166.81619853895234,-11.091786,-2.3121226,-0.08866185,11.330556,11.330209264076874,-166.81619853895234,193.1838014610477,-41.59554758255331,-5.267426121590665,-12.237325688821144,12.237325688821144,39.96081994819582,-106.21651549558692,272.74208197151665,-106.21651,39.9608537,2018-06-19 20:09:01+00:00,2497.444,-10.87,-2.26,-0.12,GPS_Atti,1.0
35.728,-106.21651577547246,39.96083152312785,9.693847843750063,8.767210784596273,-17.946286411839363,-166.81619853895234,-11.091786,-2.3121226,-0.08866185,11.330556,11.330209264076874,-166.81619853895234,193.1838014610477,-41.59554758255331,-5.267426121590665,-12.237325688821144,12.237325688821144,39.96081994819582,-106.21651549558692,272.74208197151665,-106.21651,39.9608537,2018-06-19 20:09:01+00:00,2497.444,-10.87,-2.26,-0.12,GPS_Atti,1.0
35.768,-106.21651856773784,39.9608213528828,11.063476750000063,9.133383277699451,-18.225989078992132,-166.700462277083,-11.163146,-2.3221898,-0.09973881,11.402558,11.40212227324301,-166.700462277083,193.299537722917,-42.75386628416095,-5.508631559314358,-12.247131515199994,12.247131515199994,39.960809531183926,-106.21651832565983,273.8977308598664,-106.21651,39.9608537,2018-06-19 20:09:01+00:00,2497.444,-10.87,-2.26,-0.12,GPS_Atti,1.0
35.805,-106.21651856773784,39.9608213528828,11.063476750000063,9.133383277699451,-18.225989078992132,-166.700462277083,-11.163146,-2.3221898,-0.09973881,11.402558,11.40212227324301,-166.700462277083,193.299537722917,-42.75386628416095,-5.508631559314358,-12.247131515199994,12.247131515199994,39.960809531183926,-106.21651832565983,273.8977308598664,-106.2165154,39.9608339,2018-06-19 20:09:01+00:00,2497.473,-11.0,-2.31,-0.14,GPS_Atti,1.0
35.846,-106.21652123100294,39.96081164076463,10.405761906250063,8.86297673945925,-17.857545549928375,-166.75795611816753,-11.217108,-2.3268323,-0.11934368,11.456522,11.455900472666844,-166.75795611816753,193.24204388183247,-43.91904917505531,-5.750673542548588,-12.258537604289172,12.258537604289172,39.96079905244084,-106.21652116554706,275.00126612855524,-106.2165154,39.9608339,2018-06-19 20:09:01+00:00,2497.473,-11.0,-2.31,-0.14,GPS_Atti,1.0
35.934,-106.21652123100294,39.96081164076463,10.405761906250063,8.86297673945925,-17.857545549928375,-166.75795611816753,-11.217108,-2.3268323,-0.11934368,11.456522,11.455900472666844,-166.75795611816753,193.24204388183247,-43.91904917505531,-5.750673542548588,-12.258537604289172,12.258537604289172,39.96079905244084,-106.21652116554706,275.00126612855524,-106.2165154,39.9608339,2018-06-19 20:09:01+00:00,2497.473,-11.0,-2.31,-0.14,GPS_Atti,1.0
35.977,-106.21652403140206,39.96080128373053,9.887451359375063,8.848115281994877,-17.798071961610905,-166.720287871547,-11.282641,-2.3372245,-0.21213311,11.524132,11.522179486416078,-166.720287871547,193.279712128453,-45.09045335313499,-5.993498275922297,-12.27579527666266,12.27579527666266,39.96078851774828,-106.21652401461742,276.1773881202391,-106.2165154,39.9608339,2018-06-19 20:09:01+00:00,2497.473,-11.0,-2.31,-0.14,GPS_Atti,1.0
